a,b,c,d,e,f,g
24,64,44,39,30,18,49
50,90,87,17,60,55,43
16,48,77,91,30,85,33
10,92,13,80,14,61,27
37,69,63,73,38,46,67
97,51,28,18,82,56,38
67,23,39,51,35,64,97
29,38,96,34,25,34,53
90,17,22,35,29,27,78
87,70,81,71,19,63,69
59,90,98,35,62,54,78
52,62,12,52,89,77,33
60,26,19,33,67,23,83
22,86,81,56,20,87,35
70,67,98,63,75,38,11
38,80,79,14,29,81,26
75,19,16,66,67,21,28
96,79,41,48,46,81,83
95,83,49,78,72,52,87
92,52,83,80,77,87,23
71,28,22,92,31,34,40
54,63,92,98,36,69,42
93,86,24,89,20,13,75
40,81,44,30,88,38,90
59,20,49,92,81,34,57
13,12,39,73,21,39,49
24,11,64,81,44,35,71
17,82,67,69,90,41,86
30,95,93,48,28,40,80
73,52,60,57,50,94,72
10,56,72,12,47,94,44
90,30,77,52,56,95,65
98,19,18,81,67,96,15
72,96,46,95,47,73,50
13,23,24,33,12,80,30
96,37,72,10,43,64,26
29,36,45,49,57,18,89
24,58,13,34,57,56,93
88,68,96,90,93,27,56
66,24,23,48,42,66,86
40,61,45,78,60,71,44
81,41,47,78,36,77,23
84,59,24,51,17,71,87
94,58,72,96,33,85,61
29,95,93,42,93,86,85
88,89,39,97,89,73,89
18,19,11,62,89,79,47
57,66,10,62,36,66,50
76,67,33,68,91,97,31
52,51,28,90,64,24,21
